dish_name,ingredient_name
Masala Karela Recipe,"salt,amchur,karela,red chilli powder,gram flour,onion,cumin seeds,coriander powder,turmeric powder,sunflower oil"
Spicy Tomato Rice (Recipe),"tomato,salt,chickpea lentils,green chilli,rice,mustard,bc belle bhat powder,dry red chilli,cashew peanuts,oilasafoetida,cumin seeds,white urad dal"
Ragi Semiya Upma Recipe - Ragi Millet Vermicelli Breakfast,"salt,rice vermicelli noodles,asafoetida,mustard seeds,ghee,green peas,carrot,curry leaves,white urad dal,onion,lemon,green chillies"
Gongura Chicken Curry Recipe - Andhra Style Gongura Chicken,"tomato,salt,ginger,sorrel leaves,fennel seeds,sesameoil,cloves garlic,corianderseeds,onion,chicken,methi seeds,dry red chillies,turmeric powder,green chillies,garam masala powder"
Andhra Style Alam Pachadi Recipe - Adrak Chutney (Recipe),"tomato,salt,ginger,red chillies,curry,asafoetida,mustard,chana dal,onion,oil,coriander seeds,white urad dal"
Pudina Khara Pongal Recipe (Rice and Lentils Cooked With Mint Leaves & Mild Spices),"cashew nuts,salt,yellow moong dal,ginger,green chilli,rice,corianderleaves,ghee,asafoetida,water,black peppercorns,curry leaves,cumin seeds,mint leaves,sunflower oil"
Udupi Style Ash Gourd Coconut Curry Recipe,"salt,tamarind water,coconut,mustard seeds,jaggery,vellai poosanikai,curry leaves,dry red chillies,corianderseeds,methi seeds,cumin seeds,turmeric powder,sesame seeds,sunflower oil"
Mexican Style Black Bean Burrito Recipe,"tomato,spring onion greens,hung curd,black beans,cloves garlic,rice brown rice,corianderleaves,onion,lemon,cheddar cheese,spinach leaves,tortillas"
Spicy Crunchy Masala Idli Recipe,"tomato,salt,corianderleaves,idli,red chilli powder,tomato ketchup,onion,green bell pepper,mint leaves,turmeric powder,green chillies,sunflower oil"
Cauliflower Leaves Chutney (Recipe in Hindi),"tomato,salt,turmeric powder,red chillies,spoon oil,rye,asafoetida,cloves garlic,curry leaves,cabbage leaves,tamarind,cumin seeds,white urad dal"
Homemade Baked Beans Recipe (Wholesome & Healthy),"tomato,salt,cumin powder,pepper,cloves garlic,virgin olive oil,onion,dry beans,red chilli powder cayenne pepper,dried oregano"
Veg Chili Cheese Burgers Recipe,"cheese,salt,burger buns,potatopressure,tomato,soy granules,eggs,cumin powder,tabasco original sauce,sunflower oil,red chilli powder,cloves garlic,red chilli flakes,jalapenos,onion,green bell pepper,wheat bread crumbs,dried oregano"
Andhra Steel Ingavu Charu Recipe - Asfoitida Flavored Tamarand Rasam,"salt,arhar dal,tamarind water,mustard seeds,asafoetida,curry leaves,cumin seeds,methi seeds,sunflower oil"
And fish soup recipe - Bengali style fish in tomato gravy,"tomato,salt,cumin powder,coriander powder,bay leaves,mustard oil,corianderleaves,water,sugar,cumin seeds,ginger paste,turmeric powder,green chillies,aar maachrohu katla fish"
Saunf Aloo (Fennel Potato Curry) Recipe,"fennel seeds,potatoskin,milk,red chilli powder,corianderleaves,turmeric powder"
South Indian Onion Chutney Recipe - South Indian Onion Chutney (Recipe),"salt,rye,jaggery,black urad dal,curry leaves,dry red chillies,onion,oil,tamarind paste,cumin seeds"
Hariyali Egg Curry Recipe In Coriander and Mint Gravy,"green chillies,ginger,bay leaf,corianderleaves,mint leaves,cloves garlic,cinnamon stick,onion,coriander powder,eggs,cloves,garam masala powder,sunflower oil"
Gourd Raita Recipe - Grated Bottle Gourd Yogurt Salad,"corianderleaves,cucumber grind,salt,green,cumin powder,curd,gourd"
Homemade Tater Tots Recipe,"salt,rice flour,corianderleaves,onion powder,sunflower oil the r tots,flour,red chilli flakes,garlic powder,potato,dried oregano"
Chettinad Vegetable Casserole Recipe - Chettinad Vegetable Pulao Recipe,"turmeric powder,ginger,rice,ghee,cinnamon,fennel,red chilli powder,cloves garlic,carrot,green beans,onion,bay leaf break,mint leaves,potatoes,pepper,cloves,coriander seeds,green chillies,green peas"
Garlic Amla Chutney Recipe - Lehsun Amla Chutney Recipe,"cashew nuts,salt,rye,urad dal,mint,coriander,curry leaves,amla,onion,oil,chana dal,bud garlic,green chillies"
Maharashtrian Kakdi Thalipeeth Recipe - Spiced Cucumber Flat Bread,"salt,wheat flour,cumin powder,ghee on thalipeeth,corianderleaves,red chilli powder,cloves garlic,gram flour,cucumber,coriander powder,rice flour,turmeric powder,green chillies"
Homemade Healthy Subway Sandwich Recipe With Beet & Sprout,"tomato,salt,hung curd,stalks spring onion,corianderleaves,tabasco original sauce,green moong sprouts,cloves garlic,pepper,beetroot,submarine bread"
South Indian Style Murungakkai Poriyal Recipe - Drumstick Stir Fry,"salt,mustard seeds,coconut,water,drumstick,curry leaves,dry red chillies,turmeric powder,coconut oil,green chillies"
Kesar Mango Lassi Recipe - Saffron Mango Lassi Recipe,"mango pulp,milk cold milk,ice cubes,saffron strands,curd,badam"
